,b_iat_max,b_iat_mean,b_iat_min,b_iat_std,b_iat_total,b_pkt_len_max,b_pkt_len_mean,b_pkt_len_min,b_pkt_len_std,flow_ack,flow_cwr,flow_ece,flow_fin,bpkt_per_second,f_i_max,f_i_mean,f_i_std,f_i_min,f_i_total,f_pro,f_psh,f_rst,f_syn,f_urg,fpps,fo_i_max,fo_i_min,fo_i_mean,fo_i_std,fo_i_total,fo_pl_max,fo_pl_min,fo_pl_std,fo_pl_mean,fp_per_second,tb_p,t_bhlen,t_fhlen,tf_p,tl_bp,tl_fp,class
13137,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13138,0.9310495162386795,0.444001077420837,0.0001816128213063432,0.294001077420837,54.75444662622235,1514.0,1245.7642337816606,80.0,508.7033831014282,200.1992458054141,0.0,0.0,0.0,123.1992458054141,0.949470621747599,0.455998922579163,0.29,0.007657238725127996,91.97913071923212,6.0,134.0,0.0,0.0,0.0,200.1992458054141,0.948893266275773,0.012549518161735577,0.012549518161735577,0.29,36.2663277520622,92.0,54.0,15.334076496879428,61.79750894023846,77.0,123.1992458054141,1848.0,2956.7818993299384,77.0,153536.99353483936,4758.408188398361,0.0
13139,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13140,0.16178800000000138,0.09,0.0037289999999998713,0.06,0.9150440000000017,1514.0,713.8,66.0,620.7,16.0,0.0,0.0,1.0,10.0,0.1646010000000011,0.09,0.07,0.00011699999999947863,1.524600999999997,6.0,8.0,1.0,1.0,0.0,17.0,0.1646010000000011,0.0003929999999989775,0.0003929999999989775,0.08,0.6083870000000005,1136.0,66.0,360.16,268.7142857142857,7.0,10.0,191.0,272.0,7.0,7138.0,1881.0,0.0
13141,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.9084801171449722,0.44554994203260445,0.27554994203260447,0.03548899279911213,13.70160012380097,17.0,0.0,0.0,0.0,0.0,31.0,0.9084801171449722,0.03548899279911213,0.03548899279911213,0.27554994203260447,13.70160012380097,77.0,77.0,0.0,77.0,31.0,0.0,837.0,0.0,31.0,0.0,2387.0,0.0
13142,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,1458.0,1458.0,0.0,1458.0,1.0,0.0,27.0,0.0,1.0,0.0,1458.0,0.0
13143,-1.0,0.0,99999.0,0.0,0.0,791.0,791.0,791.0,0.0,3.0,0.0,0.0,0.0,1.0,0.007155000000000911,0.0,0.0,0.006935999999999609,0.01409100000000052,6.0,2.0,0.0,0.0,0.0,3.0,0.007155000000000911,0.007155000000000911,0.007155000000000911,0.0,0.007155000000000911,650.0,54.0,298.0,352.0,2.0,1.0,48.0,24.0,2.0,791.0,704.0,0.0
13144,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.5967124952598177,0.30672828588536705,0.18,0.03558937937978684,8.38447357524731,17.0,0.0,0.0,0.0,0.0,27.33641429426835,0.5967124952598177,0.03558937937978684,0.03558937937978684,0.18,8.38447357524731,60.0,60.0,0.0,60.0,27.33641429426835,0.0,738.0831859452455,0.0,27.33641429426835,0.0,1640.184857656101,0.0
13145,0.8476179131988011,0.37594806449138396,0.01984818554456503,0.2528103871017232,62.427050779619684,66.0,66.0,66.0,0.0,518.051935508616,0.0,0.0,0.0,169.92778066792675,0.9433778486512446,0.48078441934741517,0.2564051935508616,0.0015247831005449452,249.23411018432316,6.0,66.96727097120625,0.0,0.0,0.0,518.051935508616,0.9419386016603657,0.0015247831005449452,0.0015247831005449452,0.2564051935508616,172.07861129237904,1455.4379225796554,96.0,434.2314718777677,1270.5246733441695,348.1241548406893,169.92778066792675,9399.35218069861,4588.050078034023,348.1241548406893,11215.233524083167,442237.0256705416,0.0
13146,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.9279654690891834,0.48,0.28,0.03911937270274151,15.014742816687262,17.0,0.0,0.0,0.0,0.0,31.0,0.9279654690891834,0.03911937270274151,0.03911937270274151,0.28,15.014742816687262,77.0,77.0,0.0,77.0,31.0,0.0,837.0,0.0,31.0,0.0,2387.0,0.0
13147,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.9755077330071618,0.48,0.3,0.0019785854313699998,16.37056661692058,17.0,0.0,0.0,0.0,0.0,34.0,0.9755077330071618,0.0019785854313699998,0.0019785854313699998,0.3,16.37056661692058,77.0,77.0,0.0,77.0,34.0,0.0,918.0,0.0,34.0,0.0,2618.0,0.0
13148,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13149,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,78.0,0.0,1.0,2.0,0.0,0.2415830000000021,0.08,0.06,0.01285700000000034,6.314767000000135,6.0,13.0,0.0,0.0,0.0,78.0,0.2415830000000021,0.01285700000000034,0.01285700000000034,0.06,6.314767000000135,1514.0,66.0,393.39,1354.128205128205,78.0,0.0,2108.0,0.0,78.0,0.0,105622.0,0.0
13150,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13151,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.3079079169586715,0.1675993188147886,0.1,0.041018350332020975,2.530116660042488,17.0,0.0,0.0,0.0,0.0,15.0,0.3079079169586715,0.041018350332020975,0.041018350332020975,0.1,2.530116660042488,60.0,60.0,0.0,60.0,15.0,0.0,405.0,0.0,15.0,0.0,900.0,0.0
13152,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13153,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.2844149999999992,0.06,0.11,0.0007429999999999382,0.2917219999999965,17.0,0.0,0.0,0.0,0.0,5.0,0.2844149999999992,0.0007429999999999382,0.0007429999999999382,0.11,0.2917219999999965,77.0,77.0,0.0,77.0,5.0,0.0,135.0,0.0,5.0,0.0,385.0,0.0
